Query,Impressions,Clicks,CTR,Position,Status,Opportunity
nepali vs uae,1,0,0%,5,⭐ First Page,HIGH - Cricket match
నేపాల్ vs యుఎఇ,1,0,0%,7,⭐ First Page,MEDIUM - Telugu query for Nepal vs UAE
npl season 2,2,0,0%,26.5,Page 3,MEDIUM - Cricket league
npl cricket season 2,1,0,0%,10,⭐ First Page,HIGH - Cricket league
npl season 2 foreign players,1,0,0%,11,Top of Page 2,MEDIUM - Cricket foreign players
npl season 2 foreign players list,1,0,0%,16,Page 2,MEDIUM - Cricket foreign players
hunger index 2025 india rank,2,0,0%,7.5,⭐ First Page,HIGH - Regional ranking
global hunger index 2025,1,0,0%,6,⭐ First Page,HIGH - Index ranking
global hunger index 2025 india,1,0,0%,8,⭐ First Page,HIGH - Index ranking
ghi 2025 india rank,1,0,0%,12,Page 2,MEDIUM - Index ranking
ghi rank of india 2025,1,0,0%,54,Page 6,LOW - Need better position
chatgpt nepal,1,0,0%,8,⭐ First Page,HIGH - Technology content
see result 2082,1,0,0%,7,⭐ First Page,HIGH - Education result
2082 see result,1,0,0%,8,⭐ First Page,HIGH - Education result
driving licence dotm,1,0,0%,8,⭐ First Page,HIGH - Government service
dotm.gov.nep,1,0,0%,46,Page 5,LOW - Government portal
dr nikolas bhusal biography,1,1,100%,37,Page 4,HIGH - Already converting!
dr nicholas bhusal education qualification,1,0,0%,25,Page 3,MEDIUM - Biography content
nicholous bhusal,1,0,0%,47,Page 5,LOW - Biography content
ck raut,1,0,0%,1,⭐ First Page,HIGH - Notable person
tek rawat,1,0,0%,2,⭐ First Page,HIGH - Notable person
bablu gupta minister,1,0,0%,10,⭐ First Page,HIGH - Notable person
binod bhandari,1,0,0%,11,Top of Page 2,MEDIUM - Notable person
abinash bohara,1,0,0%,11,Top of Page 2,MEDIUM - Notable person
naresh rawal nvidia,1,0,0%,11,Top of Page 2,MEDIUM - Notable person
aarif sheikh,2,0,0%,2.5,⭐ First Page,HIGH - Notable person
akaash,1,0,0%,6,⭐ First Page,HIGH - Notable person (needs context)
ward marriage certificate in nepal,1,0,0%,10,⭐ First Page,HIGH - Government service
remote jobs in nepal,1,0,0%,10,⭐ First Page,HIGH - Employment content
online electricity bill check nepal,1,0,0%,27,Page 3,MEDIUM - Utility service
nepal electricity authority bill check,1,0,0%,47,Page 5,LOW - Utility service
forum nepal,1,0,0%,2,⭐ First Page,HIGH - Meta (about forums)
nepal forum,1,0,0%,4,⭐ First Page,HIGH - Meta (about forums)
jobsnepal,1,0,0%,4,⭐ First Page,HIGH - Employment portal
merokitta.dos.gov.np,1,0,0%,7,⭐ First Page,HIGH - Government service
sudurpaschim royals,1,0,0%,11,Top of Page 2,MEDIUM - Cricket team
youth against corruption nepal,1,0,0%,75,Page 8,LOW - Organization
highest grossing nepali movie,1,0,0%,51,Page 6,MEDIUM - Entertainment
list of highest grossing nepali movies,1,0,0%,38,Page 4,MEDIUM - Entertainment
highest earning nepali movie,1,0,0%,49,Page 5,LOW - Entertainment
nepal highest grossing movie,1,0,0%,50,Page 5,LOW - Entertainment
nepali movie highest box office collection,1,0,0%,46,Page 5,LOW - Entertainment
top 10 highest grossing nepali movies,1,0,0%,54,Page 6,LOW - Entertainment
rameshwar khanal,1,0,0%,55,Page 6,LOW - Notable person
madan pariyar,1,0,0%,68,Page 7,LOW - Notable person
scott kuggeleijn,1,0,0%,8,⭐ First Page,HIGH - Cricket player (playing in Nepal)
kuggeleijn,1,0,0%,22,Page 3,MEDIUM - Cricket player
e-passport nepal,1,0,0%,75,Page 8,LOW - Government service
www.soce.gov.np see/slc result 2079,1,0,0%,62,Page 7,LOW - Education result
